personId,tpp,ftp,fgp,ppg,rpg,apg,bpg,mpg,spg,assists,blocks,steals,turnovers,offReb,defReb,totReb,fgm,fga,tpm,tpa,ftm,fta,pFouls,points,gamesPlayed,gamesStarted,plusMinus,min,dd2,td3
1629121,33.8,77.8,34.5,3.2,1.8,1.9,0.2,12.6,0.4,65,5,14,28,11,49,60,38,110,25,74,7,9,45,108,34,1,-57,427,0,0
203500,10,55.8,58.9,9.8,7.6,1.2,1,26.8,0.9,610,529,468,749,1812,2177,3989,2136,3629,1,10,867,1555,1373,5140,525,461,1614,14092,111,0
1628389,11.4,71.1,55.8,10.5,7.7,2.9,0.9,25.5,0.8,618,191,181,372,448,1213,1661,862,1545,4,35,531,747,505,2259,216,112,197,5515,57,3
200746,31.2,81.1,49.1,19.5,8.3,2,1.1,34.4,0.7,1985,1111,733,1572,2684,5676,8360,7919,16118,182,584,3579,4414,2473,19599,1003,962,2799,34517,351,0
1629734,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1629638,34.2,60.7,33.9,5.1,2,1.8,0.2,12.2,0.3,74,7,11,40,8,72,80,77,227,40,117,17,28,46,211,41,0,-62,500,0,0
1628960,34.2,78.9,41.2,6.4,1.3,1,0.1,13.4,0.2,68,7,12,56,8,81,89,146,354,65,190,75,95,83,432,68,2,-180,914,0,0
1628386,16.9,69.2,60.7,9.9,7.7,1.1,1.4,24,0.5,244,293,108,257,530,1135,1665,836,1378,11,65,458,662,475,2141,216,169,-233,5184,54,0
202329,33.5,74.5,42.1,7.6,6.1,1.2,0.6,25.1,1,848,388,659,835,960,3210,4170,1910,4542,535,1597,893,1199,1273,5248,688,431,214,17264,55,0
203937,30.7,69.8,49.2,5.4,4,2,0.5,19.6,1,704,190,341,315,249,1179,1428,781,1587,74,241,300,430,499,1936,359,160,329,7023,9,1
203507,28.5,72.4,52.5,20,8.9,4.3,1.3,32.5,1.2,2250,684,618,1437,878,3749,4627,3811,7258,303,1065,2510,3467,1567,10435,522,457,1161,16983,213,18
1628961,0,50,0,0.4,0.4,0.2,0,3,0.4,1,0,2,1,0,2,2,0,3,0,0,2,4,0,2,5,0,1,15,0,0
203648,0,46.7,55,2.6,1,0.5,0.1,5,0.3,9,2,6,11,11,9,20,22,40,0,8,7,15,15,51,20,2,-30,99,0,0
2546,34.8,81.2,44.8,23.6,6.5,2.9,0.5,35.7,1,3244,550,1121,2919,1879,5372,7251,9426,21040,1434,4119,6028,7424,3204,26314,1114,1106,1614,39750,171,2
1628384,36.2,63.8,48,7.8,3.5,1,0.4,23.2,0.9,201,78,186,175,176,546,722,613,1277,222,614,134,210,425,1582,204,130,473,4730,5,0
