county,town,village,office,number,candidates,votes
南投縣,中寮鄉,中寮村,366,1,宋楚瑜/余湘,18
南投縣,中寮鄉,中寮村,366,2,韓國瑜/張善政,217
南投縣,中寮鄉,中寮村,366,3,蔡英文/賴清德,208
南投縣,中寮鄉,內城村,373,1,宋楚瑜/余湘,17
南投縣,中寮鄉,內城村,373,2,韓國瑜/張善政,141
南投縣,中寮鄉,內城村,373,3,蔡英文/賴清德,139
南投縣,中寮鄉,八仙村,358,1,宋楚瑜/余湘,13
南投縣,中寮鄉,八仙村,358,2,韓國瑜/張善政,111
南投縣,中寮鄉,八仙村,358,3,蔡英文/賴清德,119
南投縣,中寮鄉,八仙村,359,1,宋楚瑜/余湘,8
南投縣,中寮鄉,八仙村,359,2,韓國瑜/張善政,122
南投縣,中寮鄉,八仙村,359,3,蔡英文/賴清德,162
南投縣,中寮鄉,和興村,362,1,宋楚瑜/余湘,9
南投縣,中寮鄉,和興村,362,2,韓國瑜/張善政,211
南投縣,中寮鄉,和興村,362,3,蔡英文/賴清德,202
南投縣,中寮鄉,崁頂村,356,1,宋楚瑜/余湘,8
南投縣,中寮鄉,崁頂村,356,2,韓國瑜/張善政,55
南投縣,中寮鄉,崁頂村,356,3,蔡英文/賴清德,102
南投縣,中寮鄉,崁頂村,357,1,宋楚瑜/余湘,8
南投縣,中寮鄉,崁頂村,357,2,韓國瑜/張善政,61
南投縣,中寮鄉,崁頂村,357,3,蔡英文/賴清德,70
南投縣,中寮鄉,廣福村,367,1,宋楚瑜/余湘,16
南投縣,中寮鄉,廣福村,367,2,韓國瑜/張善政,112
南投縣,中寮鄉,廣福村,367,3,蔡英文/賴清德,202
南投縣,中寮鄉,廣興村,355,1,宋楚瑜/余湘,15
南投縣,中寮鄉,廣興村,355,2,韓國瑜/張善政,175
南投縣,中寮鄉,廣興村,355,3,蔡英文/賴清德,361
南投縣,中寮鄉,復興村,363,1,宋楚瑜/余湘,13
南投縣,中寮鄉,復興村,363,2,韓國瑜/張善政,86
南投縣,中寮鄉,復興村,363,3,蔡英文/賴清德,108
南投縣,中寮鄉,永和村,378,1,宋楚瑜/余湘,14
南投縣,中寮鄉,永和村,378,2,韓國瑜/張善政,146
南投縣,中寮鄉,永和村,378,3,蔡英文/賴清德,188
南投縣,中寮鄉,永平村,364,1,宋楚瑜/余湘,26
南投縣,中寮鄉,永平村,364,2,韓國瑜/張善政,292
南投縣,中寮鄉,永平村,364,3,蔡英文/賴清德,336
南投縣,中寮鄉,永平村,365,1,宋楚瑜/余湘,14
南投縣,中寮鄉,永平村,365,2,韓國瑜/張善政,240
南投縣,中寮鄉,永平村,365,3,蔡英文/賴清德,260
南投縣,中寮鄉,永福村,368,1,宋楚瑜/余湘,10
南投縣,中寮鄉,永福村,368,2,韓國瑜/張善政,91
南投縣,中寮鄉,永福村,368,3,蔡英文/賴清德,122
南投縣,中寮鄉,永福村,369,1,宋楚瑜/余湘,40
南投縣,中寮鄉,永福村,369,2,韓國瑜/張善政,300
南投縣,中寮鄉,永福村,369,3,蔡英文/賴清德,341
南投縣,中寮鄉,永芳村,377,1,宋楚瑜/余湘,15
南投縣,中寮鄉,永芳村,377,2,韓國瑜/張善政,134
南投縣,中寮鄉,永芳村,377,3,蔡英文/賴清德,176
南投縣,中寮鄉,清水村,372,1,宋楚瑜/余湘,34
南投縣,中寮鄉,清水村,372,2,韓國瑜/張善政,260
南投縣,中寮鄉,清水村,372,3,蔡英文/賴清德,307
南投縣,中寮鄉,爽文村,375,1,宋楚瑜/余湘,24
南投縣,中寮鄉,爽文村,375,2,韓國瑜/張善政,145
南投縣,中寮鄉,爽文村,375,3,蔡英文/賴清德,179
南投縣,中寮鄉,福盛村,360,1,宋楚瑜/余湘,13
南投縣,中寮鄉,福盛村,360,2,韓國瑜/張善政,119
南投縣,中寮鄉,福盛村,360,3,蔡英文/賴清德,152
南投縣,中寮鄉,福盛村,361,1,宋楚瑜/余湘,4
南投縣,中寮鄉,福盛村,361,2,韓國瑜/張善政,108
南投縣,中寮鄉,福盛村,361,3,蔡英文/賴清德,101
南投縣,中寮鄉,義和村,370,1,宋楚瑜/余湘,17
南投縣,中寮鄉,義和村,370,2,韓國瑜/張善政,128
南投縣,中寮鄉,義和村,370,3,蔡英文/賴清德,198
南投縣,中寮鄉,義和村,371,1,宋楚瑜/余湘,22
南投縣,中寮鄉,義和村,371,2,韓國瑜/張善政,167
南投縣,中寮鄉,義和村,371,3,蔡英文/賴清德,260
南投縣,中寮鄉,龍安村,374,1,宋楚瑜/余湘,20
南投縣,中寮鄉,龍安村,374,2,韓國瑜/張善政,147
南投縣,中寮鄉,龍安村,374,3,蔡英文/賴清德,300
南投縣,中寮鄉,龍岩村,376,1,宋楚瑜/余湘,18
南投縣,中寮鄉,龍岩村,376,2,韓國瑜/張善政,192
南投縣,中寮鄉,龍岩村,376,3,蔡英文/賴清德,256
南投縣,仁愛鄉,中正村,489,1,宋楚瑜/余湘,17
南投縣,仁愛鄉,中正村,489,2,韓國瑜/張善政,458
南投縣,仁愛鄉,中正村,489,3,蔡英文/賴清德,99
南投縣,仁愛鄉,互助村,490,1,宋楚瑜/余湘,17
南投縣,仁愛鄉,互助村,490,2,韓國瑜/張善政,399
南投縣,仁愛鄉,互助村,490,3,蔡英文/賴清德,71
南投縣,仁愛鄉,互助村,491,1,宋楚瑜/余湘,9
南投縣,仁愛鄉,互助村,491,2,韓國瑜/張善政,252
南投縣,仁愛鄉,互助村,491,3,蔡英文/賴清德,54
南投縣,仁愛鄉,力行村,481,1,宋楚瑜/余湘,8
南投縣,仁愛鄉,力行村,481,2,韓國瑜/張善政,245
南投縣,仁愛鄉,力行村,481,3,蔡英文/賴清德,47
南投縣,仁愛鄉,南豐村,469,1,宋楚瑜/余湘,30
南投縣,仁愛鄉,南豐村,469,2,韓國瑜/張善政,459
南投縣,仁愛鄉,南豐村,469,3,蔡英文/賴清德,119
南投縣,仁愛鄉,南豐村,470,1,宋楚瑜/余湘,13
南投縣,仁愛鄉,南豐村,470,2,韓國瑜/張善政,135
南投縣,仁愛鄉,南豐村,470,3,蔡英文/賴清德,106
南投縣,仁愛鄉,合作村,478,1,宋楚瑜/余湘,19
南投縣,仁愛鄉,合作村,478,2,韓國瑜/張善政,279
南投縣,仁愛鄉,合作村,478,3,蔡英文/賴清德,81
南投縣,仁愛鄉,大同村,471,1,宋楚瑜/余湘,21
南投縣,仁愛鄉,大同村,471,2,韓國瑜/張善政,404
南投縣,仁愛鄉,大同村,471,3,蔡英文/賴清德,188
南投縣,仁愛鄉,大同村,472,1,宋楚瑜/余湘,8
南投縣,仁愛鄉,大同村,472,2,韓國瑜/張善政,249
南投縣,仁愛鄉,大同村,472,3,蔡英文/賴清德,65
南投縣,仁愛鄉,大同村,473,1,宋楚瑜/余湘,4
南投縣,仁愛鄉,大同村,473,2,韓國瑜/張善政,163
南投縣,仁愛鄉,大同村,473,3,蔡英文/賴清德,63
南投縣,仁愛鄉,新生村,492,1,宋楚瑜/余湘,14
南投縣,仁愛鄉,新生村,492,2,韓國瑜/張善政,244
南投縣,仁愛鄉,新生村,492,3,蔡英文/賴清德,38
南投縣,仁愛鄉,春陽村,475,1,宋楚瑜/余湘,16
南投縣,仁愛鄉,春陽村,475,2,韓國瑜/張善政,496
南投縣,仁愛鄉,春陽村,475,3,蔡英文/賴清德,149
南投縣,仁愛鄉,榮興村,474,1,宋楚瑜/余湘,2
南投縣,仁愛鄉,榮興村,474,2,韓國瑜/張善政,28
南投縣,仁愛鄉,榮興村,474,3,蔡英文/賴清德,3
南投縣,仁愛鄉,法治村,488,1,宋楚瑜/余湘,19
南投縣,仁愛鄉,法治村,488,2,韓國瑜/張善政,355
南投縣,仁愛鄉,法治村,488,3,蔡英文/賴清德,106
南投縣,仁愛鄉,發祥村,479,1,宋楚瑜/余湘,10
南投縣,仁愛鄉,發祥村,479,2,韓國瑜/張善政,167
南投縣,仁愛鄉,發祥村,479,3,蔡英文/賴清德,57
南投縣,仁愛鄉,發祥村,480,1,宋楚瑜/余湘,8
南投縣,仁愛鄉,發祥村,480,2,韓國瑜/張善政,180
南投縣,仁愛鄉,發祥村,480,3,蔡英文/賴清德,31
南投縣,仁愛鄉,精英村,476,1,宋楚瑜/余湘,19
南投縣,仁愛鄉,精英村,476,2,韓國瑜/張善政,337
南投縣,仁愛鄉,精英村,476,3,蔡英文/賴清德,102
南投縣,仁愛鄉,翠華村,482,1,宋楚瑜/余湘,3
南投縣,仁愛鄉,翠華村,482,2,韓國瑜/張善政,133
南投縣,仁愛鄉,翠華村,482,3,蔡英文/賴清德,32
南投縣,仁愛鄉,翠華村,483,1,宋楚瑜/余湘,4
南投縣,仁愛鄉,翠華村,483,2,韓國瑜/張善政,49
南投縣,仁愛鄉,翠華村,483,3,蔡英文/賴清德,29
南投縣,仁愛鄉,萬豐村,487,1,宋楚瑜/余湘,16
南投縣,仁愛鄉,萬豐村,487,2,韓國瑜/張善政,291
南投縣,仁愛鄉,萬豐村,487,3,蔡英文/賴清德,78
南投縣,仁愛鄉,親愛村,484,1,宋楚瑜/余湘,9
南投縣,仁愛鄉,親愛村,484,2,韓國瑜/張善政,346
南投縣,仁愛鄉,親愛村,484,3,蔡英文/賴清德,40
南投縣,仁愛鄉,親愛村,485,1,宋楚瑜/余湘,2
南投縣,仁愛鄉,親愛村,485,2,韓國瑜/張善政,185
南投縣,仁愛鄉,親愛村,485,3,蔡英文/賴清德,47
南投縣,仁愛鄉,親愛村,486,1,宋楚瑜/余湘,6
南投縣,仁愛鄉,親愛村,486,2,韓國瑜/張善政,64
南投縣,仁愛鄉,親愛村,486,3,蔡英文/賴清德,22
南投縣,仁愛鄉,都達村,477,1,宋楚瑜/余湘,6
南投縣,仁愛鄉,都達村,477,2,韓國瑜/張善政,329
南投縣,仁愛鄉,都達村,477,3,蔡英文/賴清德,58
南投縣,信義鄉,人和村,464,1,宋楚瑜/余湘,18
南投縣,信義鄉,人和村,464,2,韓國瑜/張善政,404
南投縣,信義鄉,人和村,464,3,蔡英文/賴清德,130
南投縣,信義鄉,人和村,465,1,宋楚瑜/余湘,6
南投縣,信義鄉,人和村,465,2,韓國瑜/張善政,80
南投縣,信義鄉,人和村,465,3,蔡英文/賴清德,74
南投縣,信義鄉,同富村,459,1,宋楚瑜/余湘,16
南投縣,信義鄉,同富村,459,2,韓國瑜/張善政,286
南投縣,信義鄉,同富村,459,3,蔡英文/賴清德,292
南投縣,信義鄉,同富村,460,1,宋楚瑜/余湘,22
南投縣,信義鄉,同富村,460,2,韓國瑜/張善政,136
南投縣,信義鄉,同富村,460,3,蔡英文/賴清德,153
南投縣,信義鄉,地利村,466,1,宋楚瑜/余湘,20
南投縣,信義鄉,地利村,466,2,韓國瑜/張善政,424
南投縣,信義鄉,地利村,466,3,蔡英文/賴清德,152
南投縣,信義鄉,愛國村,450,1,宋楚瑜/余湘,7
南投縣,信義鄉,愛國村,450,2,韓國瑜/張善政,181
南投縣,信義鄉,愛國村,450,3,蔡英文/賴清德,142
南投縣,信義鄉,新鄉村,454,1,宋楚瑜/余湘,12
南投縣,信義鄉,新鄉村,454,2,韓國瑜/張善政,275
南投縣,信義鄉,新鄉村,454,3,蔡英文/賴清德,116
南投縣,信義鄉,明德村,447,1,宋楚瑜/余湘,7
南投縣,信義鄉,明德村,447,2,韓國瑜/張善政,251
南投縣,信義鄉,明德村,447,3,蔡英文/賴清德,122
南投縣,信義鄉,明德村,448,1,宋楚瑜/余湘,14
南投縣,信義鄉,明德村,448,2,韓國瑜/張善政,219
南投縣,信義鄉,明德村,448,3,蔡英文/賴清德,177
南投縣,信義鄉,明德村,449,1,宋楚瑜/余湘,12
南投縣,信義鄉,明德村,449,2,韓國瑜/張善政,114
南投縣,信義鄉,明德村,449,3,蔡英文/賴清德,87
南投縣,信義鄉,望美村,457,1,宋楚瑜/余湘,20
南投縣,信義鄉,望美村,457,2,韓國瑜/張善政,391
南投縣,信義鄉,望美村,457,3,蔡英文/賴清德,201
南投縣,信義鄉,望美村,458,1,宋楚瑜/余湘,18
南投縣,信義鄉,望美村,458,2,韓國瑜/張善政,178
南投縣,信義鄉,望美村,458,3,蔡英文/賴清德,146
南投縣,信義鄉,東埔村,463,1,宋楚瑜/余湘,28
南投縣,信義鄉,東埔村,463,2,韓國瑜/張善政,406
南投縣,信義鄉,東埔村,463,3,蔡英文/賴清德,223
南投縣,信義鄉,潭南村,468,1,宋楚瑜/余湘,7
南投縣,信義鄉,潭南村,468,2,韓國瑜/張善政,263
南投縣,信義鄉,潭南村,468,3,蔡英文/賴清德,73
南投縣,信義鄉,神木村,461,1,宋楚瑜/余湘,8
南投縣,信義鄉,神木村,461,2,韓國瑜/張善政,175
南投縣,信義鄉,神木村,461,3,蔡英文/賴清德,115
南投縣,信義鄉,神木村,462,1,宋楚瑜/余湘,1
南投縣,信義鄉,神木村,462,2,韓國瑜/張善政,67
南投縣,信義鄉,神木村,462,3,蔡英文/賴清德,26
南投縣,信義鄉,羅娜村,455,1,宋楚瑜/余湘,23
南投縣,信義鄉,羅娜村,455,2,韓國瑜/張善政,310
南投縣,信義鄉,羅娜村,455,3,蔡英文/賴清德,103
南投縣,信義鄉,羅娜村,456,1,宋楚瑜/余湘,16
南投縣,信義鄉,羅娜村,456,2,韓國瑜/張善政,360
南投縣,信義鄉,羅娜村,456,3,蔡英文/賴清德,86
南投縣,信義鄉,自強村,451,1,宋楚瑜/余湘,24
南投縣,信義鄉,自強村,451,2,韓國瑜/張善政,141
南投縣,信義鄉,自強村,451,3,蔡英文/賴清德,125
南投縣,信義鄉,自強村,452,1,宋楚瑜/余湘,8
南投縣,信義鄉,自強村,452,2,韓國瑜/張善政,88
南投縣,信義鄉,自強村,452,3,蔡英文/賴清德,105
南投縣,信義鄉,豐丘村,453,1,宋楚瑜/余湘,20
南投縣,信義鄉,豐丘村,453,2,韓國瑜/張善政,219
南投縣,信義鄉,豐丘村,453,3,蔡英文/賴清德,162
南投縣,信義鄉,雙龍村,467,1,宋楚瑜/余湘,13
南投縣,信義鄉,雙龍村,467,2,韓國瑜/張善政,278
南投縣,信義鄉,雙龍村,467,3,蔡英文/賴清德,86
南投縣,南投市,三和里,13,1,宋楚瑜/余湘,37
南投縣,南投市,三和里,13,2,韓國瑜/張善政,337
南投縣,南投市,三和里,13,3,蔡英文/賴清德,405
南投縣,南投市,三和里,14,1,宋楚瑜/余湘,27
南投縣,南投市,三和里,14,2,韓國瑜/張善政,215
南投縣,南投市,三和里,14,3,蔡英文/賴清德,255
南投縣,南投市,三和里,15,1,宋楚瑜/余湘,40
南投縣,南投市,三和里,15,2,韓國瑜/張善政,350
南投縣,南投市,三和里,15,3,蔡英文/賴清德,404
南投縣,南投市,三民里,4,1,宋楚瑜/余湘,22
